variance,max H,max S,max V,H*S,ok not ok,
517,178,152,255,27056,1,
196,178,144,255,25632,1,
194,179,139,255,24881,1,
207,179,146,255,26134,1,
227,179,157,255,28103,1,
236,178,159,255,28302,1,
242,178,163,255,29014,1,
279,178,168,255,29904,1,
231,178,162,255,28836,1,
1110,177,170,255,30090,1,
555,178,169,255,30082,1,
1200,179,176,255,31504,1,
1850,179,174,255,31146,1,
401,178,176,255,31328,1,
737,179,176,255,31504,1,
125,178,176,255,31328,1,
176,178,175,255,31150,1,
126,179,177,255,31683,1,
118,178,178,255,31684,1,
149,179,164,255,29356,1,
132,178,174,255,30972,1,
194,179,168,255,30072,1,
168,179,163,255,29177,1,
277,177,182,255,32214,1,
265,179,180,255,32220,1,
271,179,183,255,32757,1,
278,178,178,255,31684,1,
400,176,173,255,30448,1,
276,177,172,255,30444,1,
1230,178,165,255,29370,1,
709,178,168,255,29904,1,
931,179,159,255,28461,1,
1460,178,156,255,27768,1,
316,179,160,255,28640,1,
573,179,161,255,28819,1,
195,179,160,255,28640,1,
198,179,163,255,29177,1,
176,171,172,255,29412,1,
164,176,172,255,30272,1,
156,177,169,255,29913,1,
146,175,168,255,29400,1,
140,174,164,255,28536,1,
820,177,164,255,29028,1,
1180,177,167,255,29559,1,
444,177,168,255,29736,1,
227,177,166,255,29382,1,
250,178,168,255,29904,1,
219,177,162,255,28674,1,
229,179,160,255,28640,1,
196,178,166,255,29548,1,
202,178,165,255,29370,1,
185,178,164,255,29192,1,
191,179,164,255,29356,1,
162,177,170,255,30090,1,
171,179,165,255,29535,1,
115,178,169,255,30082,1,
159,178,172,255,30616,1,
197,178,167,255,29726,1,
120,179,172,255,30788,1,
1030,177,167,255,29559,1,
471,178,164,255,29192,1,
1370,178,154,255,27412,1,
1930,179,156,255,27924,1,
274,178,153,255,27234,1,
577,177,155,255,27435,1,
86,179,152,255,27208,1,
96,179,153,255,27387,1,
113,178,158,255,28124,1,
100,178,154,255,27412,1,
120,178,161,255,28658,1,
122,178,162,255,28836,1,
122,177,160,255,28320,1,
118,176,162,255,28512,1,
133,179,162,255,28998,1,
130,177,157,255,27789,1,
131,178,166,255,29548,1,
128,179,171,255,30609,1,
717,179,172,255,30788,1,
1240,178,176,255,31328,1,
404,178,166,255,29548,1,
91,178,157,255,27946,1,
114,178,158,255,28124,1,
123,177,173,255,30621,1,
142,176,183,255,32208,1,
178,177,184,255,32568,1,
190,177,178,255,31506,1,
189,176,180,255,31680,1,
216,178,169,255,30082,1,
188,177,175,255,30975,1,
1130,178,154,255,27412,1,
515,177,159,255,28143,1,
1090,177,182,255,32214,1,
1720,175,182,255,31850,1,
326,178,169,255,30082,1,
640,178,178,255,31684,1,
72,178,161,255,28658,1,
124,178,162,255,28836,1,
74,178,153,255,27234,1,
67,179,158,255,28282,1,
92,179,158,255,28282,1,
77,179,154,255,27566,1,
101,176,164,255,28864,1,
98,177,162,255,28674,1,
131,175,163,255,28525,1,
133,178,164,255,29192,1,
124,179,159,255,28461,1,
126,178,164,255,29192,1,
264,178,161,255,28658,1,
125,179,161,255,28819,1,
1290,177,164,255,29028,1,
651,178,164,255,29192,1,
987,179,168,255,30072,1,
1580,179,164,255,29356,1,
332,179,170,255,30430,1,
604,179,169,255,30251,1,
177,179,166,255,29714,1,
123,178,151,255,26878,1,
78,179,152,255,27208,1,
53,177,157,255,27789,1,
78,176,157,255,27632,1,
135,176,158,255,27808,1,
202,175,154,255,26950,1,
1080,178,155,255,27590,1,
1300,177,163,255,28851,1,
460,177,167,255,29559,1,
797,177,165,255,29205,1,
172,179,170,255,30430,1,
217,178,175,255,31150,1,
169,179,166,255,29714,1,
174,179,167,255,29893,1,
151,178,166,255,29548,1,
162,177,167,255,29559,1,
137,179,166,255,29714,1,
143,178,166,255,29548,1,
129,179,160,255,28640,1,
131,176,164,255,28864,1,
88,179,161,255,28819,1,
130,179,157,255,28103,1,
176,177,163,255,28851,1,
90,178,162,255,28836,1,
1080,178,162,255,28836,1,
488,177,162,255,28674,1,
1470,178,166,255,29548,1,
2080,177,164,255,29028,1,
366,178,168,255,29904,1,
651,178,168,255,29904,1,
157,178,165,255,29370,1,
164,178,166,255,29548,1,
167,179,160,255,28640,1,
164,178,162,255,28836,1,
164,179,156,255,27924,1,
165,178,156,255,27768,1,
172,179,153,255,27387,1,
164,179,154,255,27566,1,
162,178,153,255,27234,1,
168,179,153,255,27387,1,
156,178,159,255,28302,1,
179,177,169,255,29913,1,
779,176,170,255,29920,1,
1400,179,158,255,28282,1,
426,179,155,255,27745,1,
109,179,149,255,26671,1,
109,179,141,255,25239,1,
112,179,142,255,25418,1,
107,178,150,255,26700,1,
95,177,149,255,26373,1,
101,176,149,255,26224,1,
98,177,152,255,26904,1,
95,177,150,255,26550,1,
198,177,154,255,27258,1,
106,176,154,255,27104,1,
1290,175,154,255,26950,1,
560,175,153,255,26775,1,
1440,177,138,255,24426,1,
2180,177,148,255,26196,1,
474,178,139,255,24742,1,
870,179,137,255,24523,1,
185,178,145,255,25810,1,
227,177,145,255,25665,1,
188,178,146,255,25988,1,
186,179,146,255,26134,1,
176,179,147,255,26313,1,
177,179,148,255,26492,1,
149,179,141,255,25239,1,
163,178,144,255,25632,1,
158,178,138,255,24564,1,
175,176,139,255,24464,1,
133,179,142,255,25418,1,
146,179,140,255,25060,1,
265,179,149,255,26671,1,
129,179,143,255,25597,1,
1340,179,150,255,26850,1,
671,179,148,255,26492,1,
928,177,151,255,26727,1,
1540,177,146,255,25842,1,
264,177,149,255,26373,1,
537,176,148,255,26048,1,
89,178,147,255,26166,1,
96,177,145,255,25665,1,
86,177,150,255,26550,1,
88,178,149,255,26522,1,
91,176,152,255,26752,1,
100,176,152,255,26752,1,
107,177,146,255,25842,1,
125,178,146,255,25988,1,
176,179,147,255,26313,1,
136,177,147,255,26019,1,
1040,177,147,255,26019,1,
459,178,147,255,26166,1,
1500,178,151,255,26878,1,
2100,178,152,255,27056,1,
462,177,146,255,25842,1,
1020,178,150,255,26700,1,
81,177,146,255,25842,1,
143,176,147,255,25872,1,
80,179,144,255,25776,1,
73,178,146,255,25988,1,
67,179,147,255,26313,1,
77,178,145,255,25810,1,
94,178,153,255,27234,1,
92,178,150,255,26700,1,
98,177,154,255,27258,1,
104,179,154,255,27566,1,
118,178,146,255,25988,1,
859,178,138,255,24564,1,
1110,178,150,255,26700,1,
363,177,148,255,26196,1,
98,178,143,255,25454,1,
150,177,144,255,25488,1,
108,178,150,255,26700,1,
97,178,146,255,25988,1,
118,178,148,255,26344,1,
112,178,150,255,26700,1,
