variance,max H,max S,max V,H*S,ok not ok
1.48E+02,176,171,255,30096,1
2.07E+02,178,170,255,30260,1
2.92E+02,178,172,255,30616,1
4.10E+02,179,174,255,31146,1
6.33E+02,178,183,255,32574,1
6.00E+02,178,182,255,32396,1
1.02E+03,178,163,255,29014,1
9.12E+02,179,157,255,28103,1
7.43E+02,179,155,255,27745,1
4.63E+02,179,154,255,27566,1
3.36E+02,179,152,255,27208,1
3.02E+02,179,152,255,27208,1
2.43E+02,179,150,248,26850,1
2.30E+02,179,147,236,26313,1
2.58E+02,178,146,233,25988,1
2.58E+02,178,146,233,25988,1
9.44E+02,176,112,255,19712,1
1.08E+03,175,113,255,19775,1
1.03E+03,175,113,255,19775,1
1.22E+03,175,114,255,19950,1
1.49E+03,174,115,255,20010,1
1.79E+03,174,115,255,20010,1
1.79E+03,174,115,255,20010,1
2.06E+03,174,116,255,20184,1
5.43E+02,179,115,255,20585,1
6.73E+02,179,112,255,20048,1
6.64E+02,179,112,255,20048,1
9.06E+02,178,115,255,20470,1
9.58E+02,178,116,255,20648,1
1.24E+03,178,120,255,21360,1
1.24E+03,178,120,255,21360,1
1.56E+03,178,123,255,21894,1
1.56E+03,179,123,255,22017,1
1.74E+03,178,125,255,22250,1
5.82E+02,178,125,255,22250,1
6.58E+02,178,127,255,22606,1
8.02E+02,178,124,255,22072,1
8.15E+02,178,123,255,21894,1
5.04E+02,179,124,255,22196,1
5.05E+02,179,124,255,22196,1
5.05E+02,179,124,255,22196,1
5.74E+02,179,124,255,22196,1
5.74E+02,179,124,255,22196,1
6.19E+02,179,124,255,22196,1
1.24E+03,177,149,255,26373,1
1.26E+03,177,149,255,26373,1
1.27E+03,177,150,255,26550,1
1.38E+03,177,150,255,26550,1
1.57E+03,177,150,255,26550,1
1.59E+03,177,151,255,26727,1
1.59E+03,177,151,255,26727,1
1.65E+03,178,150,255,26700,1
2.33E+03,178,152,255,27056,1
2.83E+03,175,118,255,20650,1
2.83E+03,175,118,255,20650,1
2.83E+03,175,118,255,20650,1
2.83E+03,175,118,255,20650,1
2.83E+03,175,118,255,20650,1
1.60E+03,176,123,255,21648,1
1.60E+03,176,123,255,21648,1
1.60E+03,176,123,255,21648,1
1.57E+03,176,123,255,21648,1
1.57E+03,176,123,255,21648,1
1.58E+03,176,122,255,21472,1
1.85E+03,172,124,255,21328,1
1.85E+03,172,124,255,21328,1
1.88E+03,172,126,255,21672,1
1.88E+03,172,126,255,21672,1
1.88E+03,172,126,255,21672,1
1.88E+03,172,126,255,21672,1
1.88E+03,172,126,255,21672,1
1.88E+03,172,126,255,21672,1
1.88E+03,172,126,255,21672,1
1.88E+03,172,126,255,21672,1
2.13E+03,169,126,255,21294,1
2.13E+03,169,126,255,21294,1
2.13E+03,169,126,255,21294,1
2.13E+03,169,126,255,21294,1
2.10E+03,169,126,255,21294,1
2.10E+03,169,126,255,21294,1
2.10E+03,169,126,255,21294,1
2.07E+03,169,127,255,21463,1
2.04E+03,169,126,255,21294,1
2.04E+03,169,126,255,21294,1
1.97E+03,171,123,255,21033,1
1.97E+03,171,123,255,21033,1
1.97E+03,171,123,255,21033,1
1.99E+03,171,123,255,21033,1
